paths,target,resolution,sharpness,brightness,size,noise,Number of Anomalies,Anomaly,contrast,energy,homogeneity,correlation,dissimilarity
./pages/models/Bone Fracture/Production/2025-01-15/fracture/10-rotated2-rotated1-rotated1.jpg,fracture,"(224, 224)",73.8688703264509,82.44882015306122,150528,42.20579454287902,0,False,61.75436373873874,0.18345729905702318,0.5703872487734063,0.9824280844834024,3.0546774453024454
./pages/models/Bone Fracture/Production/2025-01-15/fracture/10-rotated3-rotated1.jpg,fracture,"(224, 224)",297.2933960814915,83.0439453125,150528,41.81798207055957,0,False,90.36615186615187,0.17981908587649437,0.569342844190167,0.9737821676427316,3.362290862290862
./pages/models/Bone Fracture/Production/2025-01-15/fracture/100-rotated1-rotated3.jpg,fracture,"(224, 224)",331.1889442716326,63.67958785076531,150528,56.976731478420746,2448,False,302.21410472972974,0.13546902563176805,0.49879630877860476,0.9534389430036004,5.73405324967825
./pages/models/Bone Fracture/Production/2025-01-15/fracture/100-rotated2-rotated1.jpg,fracture,"(224, 224)",432.68007565497953,68.6065449617347,150528,55.83984506967961,2763,True,234.30944337194333,0.10594813395598754,0.5147112633658074,0.9623840550134852,4.386462355212354
./pages/models/Bone Fracture/Production/2025-01-15/fracture/100-rotated2.jpg,fracture,"(224, 224)",567.4941817287206,71.2689134247449,150528,57.08165014246771,735,False,243.96947393822398,0.11610050986555512,0.5528177226680193,0.9625163898877276,4.08180501930502
./pages/models/Bone Fracture/Production/2025-01-15/fracture/100-rotated3-rotated1-rotated2.jpg,fracture,"(224, 224)",215.4356692372536,62.12567761479592,150528,56.903479055944395,2226,False,295.98660714285717,0.1447963243847992,0.4823172547839776,0.9542602037895068,6.187097812097811
./pages/models/Bone Fracture/Production/2025-01-15/fracture/100-rotated3-rotated1.jpg,fracture,"(224, 224)",317.51226377030406,64.13079958545919,150528,56.30412832215483,2451,False,285.1891690797941,0.11760099599157851,0.48965413493401044,0.9549918505157012,5.5998029279279296
./pages/models/Bone Fracture/Production/2025-01-15/fracture/100-rotated3-rotated2-rotated1.jpg,fracture,"(224, 224)",207.75681355733366,61.645727040816325,150528,57.009379970084325,2136,False,300.43406129343623,0.1466051180646628,0.47571700660185867,0.9537693356794391,6.18144707207207
./pages/models/Bone Fracture/Production/2025-01-15/fracture/101-rotated2-rotated1.jpg,fracture,"(224, 224)",236.29157207827433,77.96637834821429,150528,57.25406489701158,0,False,187.0913972007722,0.08742392714843546,0.4674000014175743,0.9713171031223722,4.835082850707851
./pages/models/Bone Fracture/Production/2025-01-15/fracture/101-rotated2-rotated2-rotated3.jpg,fracture,"(224, 224)",171.10095569740875,79.53467793367346,150528,56.16274015132909,0,False,176.16133767696266,0.07051203045911564,0.4672942450736332,0.9718819970116385,4.659889800514801
./pages/models/Bone Fracture/Production/2025-01-15/fracture/101-rotated2-rotated2.jpg,fracture,"(224, 224)",187.41248496618442,77.68506855867346,150528,57.50965138010083,0,False,141.1682553088803,0.09818487379043163,0.4843838878855695,0.9785912890484523,4.388935810810811
./pages/models/Bone Fracture/Production/2025-01-15/fracture/101-rotated3-rotated1.jpg,fracture,"(224, 224)",205.97315396074947,74.99198820153062,150528,59.19662363602736,0,False,167.11269305019303,0.12987485122292758,0.47019604752704386,0.9760649641875354,5.128780566280566
./pages/models/Bone Fracture/Production/2025-01-15/fracture/101-rotated3-rotated2-rotated2.jpg,fracture,"(224, 224)",166.04647292042213,76.18763950892857,150528,58.71538283042714,0,False,175.0195865508365,0.10839146868375323,0.45254009744049,0.9744964463131472,5.377574002574002
./pages/models/Bone Fracture/Production/2025-01-15/fracture/101-rotated3-rotated3-rotated2.jpg,fracture,"(224, 224)",145.46649000834347,76.85620615433673,150528,58.249762129076366,0,False,171.85026544401543,0.09625354144237086,0.4489945014038357,0.9745477777584327,5.2837435649935625
./pages/models/Bone Fracture/Production/2025-01-15/fracture/102-rotated1-rotated1-rotated1.jpg,fracture,"(224, 224)",95.49800210910655,53.72901387117347,150528,42.28674701660439,168,False,111.67314189189186,0.14531403306856822,0.547520146827664,0.9687212769200821,4.507480694980694
./pages/models/Bone Fracture/Production/2025-01-15/fracture/102-rotated1-rotated1-rotated2.jpg,fracture,"(224, 224)",90.29791667609352,53.42388791454081,150528,42.39936439480078,168,False,78.79918758043758,0.15149331157321336,0.5761262742350104,0.9780496484417577,3.633445945945946
./pages/models/Bone Fracture/Production/2025-01-15/fracture/102-rotated1-rotated2-rotated1.jpg,fracture,"(224, 224)",119.35867937303296,54.44349888392857,150528,41.771165101815974,225,False,107.11034025096525,0.13273149002947798,0.5368760996511439,0.9692224650378135,4.402851512226512
./pages/models/Bone Fracture/Production/2025-01-15/fracture/102-rotated1-rotated3-rotated1.jpg,fracture,"(224, 224)",88.48271917035706,50.485132334183675,150528,42.738741512620784,183,False,72.54775981338481,0.19714795760331474,0.6563703395649046,0.980049391919837,2.850365990990991
./pages/models/Bone Fracture/Production/2025-01-15/fracture/102-rotated2-rotated1-rotated3.jpg,fracture,"(224, 224)",93.28733134875442,53.3957669005102,150528,42.35636810754661,183,False,76.56024774774777,0.15086321854832002,0.5700901536603578,0.9786295641009113,3.5946750321750334
./pages/models/Bone Fracture/Production/2025-01-15/fracture/103-rotated2-rotated3.jpg,fracture,"(224, 224)",121.30743338931653,57.4150390625,150528,55.70314066417966,3,False,108.31316361003863,0.20221318449544787,0.5676671429798975,0.9825484232837123,4.356197715572717
./pages/models/Bone Fracture/Production/2025-01-15/fracture/103-rotated3-rotated1-rotated3.jpg,fracture,"(224, 224)",103.45231477641305,58.61641023596939,150528,55.47762631045208,0,False,127.22140444015446,0.2097267910215579,0.5767263660634739,0.9793708717486723,4.285151222651223
./pages/models/Bone Fracture/Production/2025-01-15/fracture/103-rotated3-rotated3-rotated3.jpg,fracture,"(224, 224)",118.68768935221429,56.58589764030612,150528,56.449398525166266,0,False,142.6924469111969,0.2124244037766516,0.5669101844562812,0.9776611292129299,4.668436293436293
./pages/models/Bone Fracture/Production/2025-01-15/fracture/104-rotated1-rotated3-rotated3.jpg,fracture,"(224, 224)",61.17748995315825,49.345723054846935,150528,63.94981873040967,0,False,113.26459942084942,0.2727497887921185,0.6371529785725166,0.986209705267646,3.686695624195624
./pages/models/Bone Fracture/Production/2025-01-15/fracture/104-rotated1-rotated3.jpg,fracture,"(224, 224)",190.62579715415765,49.94154575892857,150528,63.06777651593721,0,False,76.35362371299871,0.31010214726545576,0.7190930329553507,0.9904208974969236,2.4211108429858434
./pages/models/Bone Fracture/Production/2025-01-15/fracture/104-rotated1.jpg,fracture,"(224, 224)",262.64990127449084,51.398995535714285,150528,63.06718946034678,3,False,149.2154520592021,0.31704831282566465,0.6721532965068332,0.981322668224196,3.509049227799228
