paths,target,contrast,energy,homogeneity,correlation,dissimilarity,sharpness,brightness,size,noise,Number of Anomalies,Anomaly
./pages/models/Bone Fracture/Baseline/fracture/10-rotated1-rotated1-rotated1.jpg,fracture,62.048986486486484,0.1813549049325009,0.5738944211163759,0.9816866572961446,2.942688223938223,71.39404312405473,83.98292012117346,150528,41.460236600387816,0,False
./pages/models/Bone Fracture/Baseline/fracture/10-rotated1-rotated1-rotated2.jpg,fracture,61.69194417631918,0.18365783231632074,0.5685580388161495,0.9824581580540904,3.0627212033462032,68.40407027427678,82.43401227678571,150528,42.218974822153726,0,False
./pages/models/Bone Fracture/Baseline/fracture/10-rotated1-rotated1-rotated3.jpg,fracture,60.97057995495496,0.189453132720888,0.5732464979767044,0.9831496781388048,3.129725707850708,64.40902929810473,81.08561862244898,150528,42.803942096404,0,False
./pages/models/Bone Fracture/Baseline/fracture/10-rotated1-rotated1.jpg,fracture,127.8548503861004,0.1729051953856053,0.5728593675153403,0.9597412220519218,3.4116795366795367,185.0194143385055,85.64018654336735,150528,40.36316374370852,0,False
./pages/models/Bone Fracture/Baseline/fracture/10-rotated1-rotated2-rotated1.jpg,fracture,72.38002734877733,0.17392683314687535,0.5871962083988193,0.977606188999724,2.725305662805662,91.0192869806826,85.7684550382653,150528,40.51494263826268,0,False
./pages/models/Bone Fracture/Baseline/fracture/10-rotated1-rotated2-rotated2.jpg,fracture,111.90112210424712,0.16217434417265406,0.5639228745167186,0.9619073704078881,3.226773648648649,114.73998034849407,87.30506616709184,150528,38.86558719264188,0,False
./pages/models/Bone Fracture/Baseline/fracture/10-rotated1-rotated2-rotated3.jpg,fracture,67.44578507078506,0.19671190276534486,0.5791761521379404,0.982441318586711,3.16988416988417,76.62703566608802,79.41412228954081,150528,44.0732328694789,0,False
./pages/models/Bone Fracture/Baseline/fracture/10-rotated1-rotated2.jpg,fracture,69.67125160875159,0.17747289431453298,0.5679710864275231,0.9791696132460743,3.0820061132561123,101.1116596112297,84.54450334821429,150528,41.18840306294318,0,False
./pages/models/Bone Fracture/Baseline/fracture/10-rotated1-rotated3-rotated1.jpg,fracture,88.97663288288288,0.20208282091251037,0.5719283935150338,0.9765397697091209,3.6578989703989704,211.13581883098024,77.45904416454081,150528,43.81633087466957,0,False
./pages/models/Bone Fracture/Baseline/fracture/10-rotated1-rotated3-rotated2.jpg,fracture,110.29466296653797,0.19633292403580985,0.5915452376152808,0.9708121161578972,3.384833494208494,164.77129650910362,77.42237324617346,150528,43.78527678621266,0,False
